Vídeo,Título do vídeo,Horário de publicação do vídeo,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
Wu3JJQbhXIo,Física 2 - Calorimetria - Fontes térmicas,"May 1, 2020",7,"0,0214",0,37,"2,7"
ZR-Tgh4jDvQ,Física 1- Encontro de móveis,"May 5, 2020",7,"0,1063",0,32,0
a5CQe_fWzi8,Física 1 - Coeficiente de atrito cinético,"Jun 9, 2020",7,"0,1978",0,20,0
aLzgsIBjSis,Física 2 - Sistemas de equações com espelhos esféricos,"Jun 28, 2020",7,"0,3242",0,27,"11,11"
adMdWCcV8Nk,Física 2 - Termodinâmica - 1ª Lei básica,"May 11, 2020",7,"0,1023",0,21,0
dw7fu3UWXaE,Física 3 - Lei de Gauss e Fluxo elétrico,"Sep 15, 2020",7,"0,2611",0,62,"3,23"
elIVVulJ4hk,Física 1 - Estática  Semelhança de Triângulos,"May 18, 2020",7,"0,3714",0,25,0
f-Tml8Ir7lw,Física 3 Lei de Gauss - Fluxo elétrico em regiões distintas,"Sep 15, 2020",7,"0,1144",0,42,0
gmOY8YiflnI,Física 3 - Força eletromotriz e capacitores,"Sep 19, 2020",7,"0,1164",0,79,"5,06"
hg1JeGy545I,Física 2 - Ondulatória - Básico,"Mar 29, 2020",7,"0,188",1,25,4
nIhrJp_FtfA,Física 1 - MRUV - Manipulando gráficos vxt para achar o deslocamento,"Apr 13, 2020",7,"0,3345",0,29,0
wc1ZZQgDLx4,Física 3- Entendendo o par de vetores Força elétrica,"Aug 17, 2020",7,"0,0727",0,34,"2,94"
zrZc9OP2UV4,Física 2 - Hidrostática - Lei de Stevin,"Apr 8, 2020",7,"0,0932",0,10,10
0OoxDSzoHII,Física 1 - Impulso vetorial (3 estrela),"May 18, 2020",6,"0,1671",0,13,"15,38"
0b5dPiwl7p4,Física 2 - Lei de Taylor - Básico velocidade e tensão em uma corda,"Apr 2, 2020",6,"0,1054",0,47,"8,51"
6Dyr0sS2W04,"Física 2 - Sombra , altura , propagação retilínea da luz","May 23, 2020",6,"0,2532",0,29,"3,45"
AllzFEf5kWA,Física 1 - Teorema impulso quant. movimento,"May 18, 2020",6,"0,3468",0,11,"9,09"
BzuO8yfqce8,Física 3 - Trajetória de cargas em placas paralelas,"Sep 1, 2020",6,"0,0622",0,54,"11,11"
